EMP_ID,ANNUAL_RATE,HRLY_RATE,JOBCODE,ETHNICITY,SEX,MARITAL_STATUS,JOB_SATISFACTION,AGE,NUMBER_OF_TEAM_CHANGED,REFERRAL_SOURCE,HIRE_MONTH,REHIRE,TERMINATION_YEAR,IS_FIRST_JOB,TRAVELLED_REQUIRED,PERFORMANCE_RATING,DISABLED_EMP,DISABLED_VET,EDUCATION_LEVEL,STATUS,JOB_GROUP,PREVYR_1,PREVYR_2,PREVYR_3,PREVYR_4,PREVYR_5
4115283816,146290,80,87100,WHITE,F,Married,4,34,3+,Corporate Career Site,October,TRUE,2006,N,N,2,N,N,LEVEL 1,T,Production & Operations,0,0,0,0,0
1620006883,113278,62,37987,ASIAN,F,Married,2,53,0,Agency,January,FALSE,,N,N,5,N,N,LEVEL 3,A,R&I Development/Pre-Develpmnt,1,1,2,1,1
8073813147,104108,57,21875,ASIAN,M,Married,2,64,0,College Recommendation,September,FALSE,2008,N,N,2,Y,N,LEVEL 2,T,Sourcing,3,0,0,0,0
2162040836,133638,70,24796,BLACK,M,Married,5,31,2,Unknown,October,FALSE,2016,N,N,5,N,N,LEVEL 1,T,IT Business Applications,3,2,2,2,2
2866912931,67308,38,84584,WHITE,M,Single,2,63,1,Job Posting,October,FALSE,,N,N,3,N,N,LEVEL 2,A,Production & Operations,2,0,0,0,0
1823415380,264938,134,90242,WHITE,F,Single,5,38,2,Job Boards/Online Advertising,December,FALSE,,N,Y,3,N,N,LEVEL 3,A,Human Resources,2,3,3,2,2
9046570171,128683,68,65841,WHITE,M,Married,2,61,1,Agency,May,FALSE,,N,N,2,N,N,LEVEL 2,A,Promotional Purchasing,3,3,3,3,3
9146671697,86243,49,25807,WHITE,F,Single,2,61,1,Direct Sourcing,July,FALSE,2007,N,N,3,N,N,LEVEL 1,T,Creative Service/Copy,0,0,0,0,0
1959332171,109863,60,49532,ASIAN,M,Single,1,45,0,Job Fair,February,FALSE,,N,N,1,N,N,LEVEL 4,A,Sourcing,3,3,3,4,3
2555276431,104722,57,36516,BLACK,M,Single,1,60,1,Job Posting,March,FALSE,,N,N,2,N,N,LEVEL 3,A,R&I Development/Pre-Develpmnt,3,3,3,2,2
7204844783,101439,57,66088,WHITE,F,Married,1,63,0,Open House,January,FALSE,,N,N,1,N,Y,LEVEL 3,A,IT Business Applications,3,3,3,3,2
7293309019,188196,98,83933,WHITE,F,Married,2,43,0,Job Posting,July,FALSE,,N,N,2,N,N,LEVEL 4,A,Engineering,3,3,3,3,3
4349617418,151066,82,61858,ASIAN,F,Divorced,4,34,2,Unknown,October,FALSE,,N,N,3,N,N,LEVEL 1,A,IT Business Applications,3,2,2,2,2
3255121382,157450,81,20880,WHITE,F,Married,5,21,2,Direct Sourcing,May,FALSE,,N,N,5,N,N,LEVEL 2,A,Supply Chain Finance,3,3,3,3,3
6232440885,166193,86,12533,WHITE,F,Single,1,48,0,Job Fair,August,FALSE,2006,N,N,2,N,N,LEVEL 2,T,Technical Packaging,0,0,0,0,0
2616470169,362990,184,43361,HISPA,M,Married,1,48,1,Inroads,March,FALSE,,N,N,5,N,N,LEVEL 3,A,Finance,0,0,0,2,2
9000783986,107680,56,59806,WHITE,M,Single,4,22,3+,College Recommendation,January,FALSE,,N,Y,3,N,N,LEVEL 2,A,Customer Care,3,3,3,3,3
8801456416,166158,86,52196,WHITE,M,Single,4,23,2,Print Advertisement,January,FALSE,2006,N,N,1,N,N,LEVEL 2,T,Legal,0,0,0,0,0
1713479374,119823,63,21875,WHITE,M,Married,4,23,2,Former Employee/Intern,March,TRUE,,N,N,2,N,N,LEVEL 3,A,Sourcing,3,3,3,2,2
2671555317,231951,117,72035,HISPA,F,Married,2,51,1,Inroads,June,FALSE,,N,N,2,N,N,LEVEL 1,A,Human Resources,2,2,2,2,2
7071063601,62465,36,34256,HISPA,M,Married,1,47,0,Inroads,December,FALSE,2006,N,N,4,N,N,LEVEL 3,T,Finance,0,0,0,0,0
2986982917,189986,102,54098,WHITE,F,Single,1,45,0,College Recruiting(UnderGrad),July,FALSE,,N,Y,5,N,N,LEVEL 1,A,Human Resources,1,2,2,1,1
3590630310,177117,91,49562,WHITE,F,Divorced,5,39,3,Job Boards/Online Advertising,January,FALSE,,N,N,5,N,N,LEVEL 3,A,Customer Care,3,3,3,3,3
1663701680,111034,60,89996,WHITE,F,Married,5,26,2,E-Strat,August,FALSE,2014,N,N,5,N,N,LEVEL 2,T,Quality Assurance,3,3,4,3,3
1209010042,128269,67,89996,WHITE,F,Single,3,24,3+,Job Fair,August,FALSE,,N,N,3,N,N,LEVEL 1,A,Quality Assurance,3,2,2,3,3
8584237466,244517,123,65056,HISPA,F,Single,4,29,2,College Recruiting(UnderGrad),December,FALSE,,N,N,1,N,N,LEVEL 3,A,Accounting,2,2,2,2,2
7914722440,89954,49,82247,HISPA,F,Single,3,22,3+,College Recruiting(UnderGrad),August,TRUE,2005,N,N,5,N,N,LEVEL 3,T,Marketing Support/Services,0,0,0,0,0
2842315024,219807,113,58281,PACIF,F,Married,5,35,2,Unsolicited,March,FALSE,,N,N,2,N,N,LEVEL 1,A,Promotional Purchasing,0,2,2,2,0
5279253304,211744,105,25266,ASIAN,M,Married,4,23,2,College Recommendation,January,FALSE,,Y,Y,4,N,N,LEVEL 3,A,Physical Flows,3,2,2,2,2
3733328503,150134,81,20880,ASIAN,F,Married,1,49,0,Open House,April,FALSE,,N,N,4,N,N,LEVEL 3,A,Supply Chain Finance,3,2,2,2,3
7158539000,94348,53,63984,ASIAN,M,Single,4,21,2,Inroads,February,FALSE,,N,N,5,N,N,LEVEL 2,A,Manufacturing Supply Chain,2,3,2,3,3
7189612437,141334,73,21301,ASIAN,F,Married,1,53,0,,February,FALSE,,N,Y,3,N,N,LEVEL 1,A,Market Supply Logistics,3,3,2,2,2
1457414746,185208,93,35363,WHITE,M,Divorced,5,18,3+,,March,FALSE,,Y,N,5,N,N,LEVEL 1,A,Sourcing,2,2,2,2,2
4077159779,138772,72,83605,WHITE,F,Married,2,59,0,Job Fair,February,FALSE,,N,N,2,N,N,LEVEL 1,A,Market Research,3,3,3,3,3
7018752185,105819,58,51904,WHITE,M,Single,1,49,1,Open House,October,FALSE,2007,N,N,1,N,N,LEVEL 2,T,Production & Operations,0,0,0,0,0
4955839415,182842,94,12718,ASIAN,M,Married,1,46,0,Staffing Agency,August,FALSE,,N,N,1,Y,N,LEVEL 3,A,Manufacturing Supply Chain,2,2,1,1,1
1882918291,88846,53,27578,WHITE,F,Single,2,60,0,Unknown,June,FALSE,,N,N,2,N,Y,LEVEL 5,A,General Administration,2,2,2,2,2
2528201202,101882,55,51673,WHITE,M,Divorced,3,21,3,College Recommendation,January,FALSE,,N,N,5,N,N,LEVEL 2,A,Physical Flows,3,3,2,0,3
3320993935,133096,70,31898,BLACK,F,Married,2,52,0,Direct Sourcing,August,FALSE,,N,N,5,N,N,LEVEL 3,A,Customer Care,2,2,2,2,2
6670659483,231951,120,57572,BLACK,M,Married,2,53,1,Former Employee/Intern,October,TRUE,2008,N,Y,3,N,N,LEVEL 2,T,Production & Operations,4,0,0,0,0
6380962230,111905,63,53350,WHITE,M,Single,5,24,3,Unsolicited,October,FALSE,,N,N,1,Y,N,LEVEL 1,A,Manufacturing Supply Chain,2,2,2,2,3
6012963848,226486,118,35363,HISPA,M,Single,5,26,3+,,October,FALSE,,N,N,4,N,N,LEVEL 5,A,Sourcing,2,2,1,2,2
6712429350,120946,63,28678,HISPA,F,Single,4,27,2,Inroads,August,FALSE,,N,N,4,N,N,LEVEL 2,A,Accounting,2,2,2,2,3
7972600494,191903,101,89345,WHITE,M,Married,3,25,3+,Staffing Agency,November,FALSE,,N,N,5,N,N,LEVEL 3,A,Supply Chain Administration,3,3,2,2,2
8693632574,250406,129,37963,WHITE,F,Divorced,5,30,3,Unsolicited,October,FALSE,,N,N,1,N,N,LEVEL 3,A,Physical Flows,0,0,0,2,2
2460260060,113503,62,42258,TWO,M,Divorced,3,22,3+,Inroads,July,FALSE,,N,N,1,N,Y,LEVEL 3,A,Physical Flows,3,3,2,2,2
5222666919,175880,93,88257,WHITE,M,Single,2,47,1,Staffing Agency,June,FALSE,2007,N,Y,1,N,N,LEVEL 2,T,Engineering,0,0,0,0,0
9086553823,80064,46,26553,WHITE,M,Single,1,40,1,,July,FALSE,,N,Y,2,N,N,LEVEL 2,A,Production & Operations,0,0,0,0,0
1438159008,108024,56,28525,HISPA,M,Married,5,25,3+,Unknown,September,TRUE,,N,Y,4,N,N,LEVEL 3,A,Industrial Quality,3,3,3,2,3
9121319194,99908,57,37786,WHITE,M,Married,4,22,2,Unsolicited,October,TRUE,,Y,Y,5,Y,N,LEVEL 5,A,Customer Care,3,2,2,2,2
9105693862,154023,82,19825,WHITE,F,Divorced,4,18,3+,Agency,November,FALSE,,Y,N,3,N,N,LEVEL 1,A,Accounting,2,2,2,2,2
6317496092,96743,50,79489,BLACK,F,Single,5,35,3,Job Boards/Online Advertising,September,FALSE,2010,N,Y,4,Y,N,LEVEL 2,T,Technical Packaging,3,3,4,0,0
8056923166,107976,57,55379,WHITE,M,Single,4,29,3,Job Posting,July,TRUE,,N,N,4,N,N,LEVEL 1,A,Human Resources,3,2,2,2,2
5250513196,124506,68,19921,WHITE,F,Single,5,38,3+,Job Boards/Online Advertising,August,FALSE,,N,N,3,Y,N,LEVEL 2,A,Package Development,3,3,3,3,3
2627363575,91341,63,66623,ASIAN,M,Single,1,56,1,Former Employee/Intern,April,FALSE,,N,N,4,N,N,LEVEL 1,A,Sourcing,2,3,3,0,2
3338791431,124342,67,31898,WHITE,F,Single,1,54,0,Job Fair,September,FALSE,,N,N,5,N,N,LEVEL 4,A,Customer Care,3,3,3,3,2
8746362922,145190,75,27468,WHITE,M,Divorced,5,34,3,Unknown,September,FALSE,,N,N,2,N,Y,LEVEL 1,A,Creative Service/Copy,2,2,2,0,0
2241465920,106845,56,42398,HISPA,F,Married,5,18,3,Corporate Career Site,June,FALSE,2010,Y,N,4,N,N,LEVEL 1,T,Sourcing,3,3,3,0,0
7830596094,185531,98,20880,BLACK,F,Married,5,26,2,Unsolicited,July,FALSE,,N,N,2,N,N,LEVEL 3,A,Finance,2,2,2,2,0
7143541300,258998,134,29039,WHITE,M,Single,4,31,3+,Unsolicited,November,FALSE,,N,N,4,N,Y,LEVEL 1,A,Legal,2,0,0,0,0
6839654669,114266,59,86556,WHITE,F,Married,2,42,0,Other Source,February,FALSE,,N,Y,2,N,N,LEVEL 1,A,Flows & Sub-Contracting,2,2,2,3,3
8734014928,254557,126,67466,WHITE,F,Divorced,3,32,2,Unknown,August,TRUE,,N,N,3,N,N,LEVEL 1,A,Creative Service/Copy,2,2,2,2,1
6068812213,95338,54,49532,WHITE,F,Married,2,60,0,College Recruiting(UnderGrad),June,FALSE,,N,N,1,N,N,LEVEL 1,A,Sourcing,2,3,2,3,3
5766617533,187758,97,75732,WHITE,F,Married,2,40,1,Corporate Career Site,August,FALSE,,N,N,2,Y,N,LEVEL 3,A,IT Technologies and Infrstrctr,3,3,2,2,2
3023883423,109163,57,34256,HISPA,F,Married,1,57,1,Direct Sourcing,February,FALSE,,N,N,2,N,N,LEVEL 5,A,Finance,3,3,2,3,0
5496425873,85139,46,46122,WHITE,F,Married,1,54,1,Job Posting,May,TRUE,2006,N,Y,5,N,N,LEVEL 1,T,Human Resources,0,0,0,0,0
6812908601,136598,74,65523,WHITE,F,Single,2,50,1,Corporate Career Site,November,FALSE,,N,N,1,N,N,LEVEL 4,A,R&I Evaluation,2,2,2,3,3
7914311446,233150,156,59177,ASIAN,M,Divorced,3,24,3,Unknown,May,FALSE,2005,N,N,4,N,N,LEVEL 2,T,Marketing - Direct,0,0,0,0,0
1758398346,124158,69,57014,WHITE,F,Married,4,30,3,Job Boards/Online Advertising,November,FALSE,2016,N,N,5,N,Y,LEVEL 2,T,Physical Flows,3,3,3,2,2
1238799137,70215,42,28882,BLACK,M,Single,2,51,1,Executive Referral,January,FALSE,,N,N,2,N,N,LEVEL 1,A,General Administration,1,2,1,2,0
4976508476,332735,167,18627,WHITE,F,Single,4,39,2,Other Source,January,FALSE,,N,N,3,N,N,LEVEL 3,A,Human Resources,1,2,1,2,1
2435628566,108713,59,80449,WHITE,F,Married,3,20,3+,Corporate Career Site,September,FALSE,,Y,Y,1,N,N,LEVEL 1,A,Industrial Quality,2,2,2,2,2
8368056799,163908,84,68661,WHITE,F,Single,1,46,1,Corporate Career Site,August,TRUE,,N,N,5,N,N,LEVEL 5,A,Marketing - Direct,2,2,2,2,2
4097637659,198290,103,16429,WHITE,F,Married,2,57,0,Corporate Career Site,February,FALSE,,N,N,3,N,N,LEVEL 1,A,Promotional Purchasing,2,2,1,1,1
2648383278,260963,135,37020,WHITE,F,Married,3,37,3+,Former Employee/Intern,February,FALSE,,N,Y,4,N,N,LEVEL 2,A,Finance,2,2,2,2,0
7212373108,175622,92,89345,ASIAN,F,Married,4,25,2,Inroads,November,FALSE,,N,N,1,Y,N,LEVEL 5,A,Supply Chain Administration,3,2,2,2,2
2324096346,54060,30,44203,WHITE,M,Divorced,4,27,2,Client Referral,June,FALSE,,N,N,5,N,N,LEVEL 1,A,Production & Operations,0,0,0,0,0
7895011561,200546,104,67466,BLACK,F,Married,2,43,1,Executive Referral,January,FALSE,2005,N,N,1,N,Y,LEVEL 3,T,Creative Service/Copy,0,0,0,0,0
7899144552,160763,84,23699,WHITE,M,Single,4,21,2,Other Source,August,FALSE,,N,N,4,N,Y,LEVEL 3,A,Digital,3,2,3,2,2
4140157244,107434,57,38639,BLACK,M,Divorced,5,29,3,Open House,May,FALSE,2007,N,N,2,N,N,LEVEL 1,T,Marketing - Direct,0,0,0,0,0
4138348484,116913,66,46122,WHITE,F,Single,4,39,3,Direct Sourcing,January,FALSE,2008,N,N,2,N,N,LEVEL 2,T,Human Resources,2,0,0,0,0
6049083859,73519,40,65841,WHITE,F,Married,2,53,1,Former Employee/Intern,March,TRUE,2006,N,Y,4,N,N,LEVEL 3,T,Marketing Support/Services,0,0,0,0,0
7645077229,189564,99,89345,WHITE,F,Married,1,41,0,Open House,June,FALSE,,N,N,3,N,Y,LEVEL 3,A,Corporate Supply Chain,2,2,2,2,2
2701836078,178036,93,92512,WHITE,F,Divorced,5,33,2,Print Advertisement,August,TRUE,,N,N,5,N,N,LEVEL 2,A,IT Governance and Management,2,2,2,2,2
8759360744,123686,68,67426,WHITE,F,Divorced,3,19,3,Unknown,February,FALSE,,Y,N,1,N,N,LEVEL 1,A,Flows & Sub-Contracting,3,3,3,2,2
1132002824,195962,102,86214,ASIAN,F,Married,5,25,2,Other Source,October,FALSE,,N,N,4,N,N,LEVEL 1,A,Human Resources,2,2,2,2,1
7960936761,370895,185,67908,ASIAN,F,Married,1,51,1,Job Boards/Online Advertising,December,FALSE,,N,Y,3,N,N,LEVEL 1,A,General Management,0,0,2,2,0
4098470327,142737,74,30543,ASIAN,M,Married,2,58,0,Executive Referral,January,FALSE,,N,N,5,N,N,LEVEL 3,A,Human Resources,2,2,1,1,1
5900794533,56425,30,51959,WHITE,M,Married,2,47,1,Job Fair,August,FALSE,,N,N,4,N,N,LEVEL 4,A,Physical Flows,2,2,2,2,2
1142734875,163660,86,89345,BLACK,F,Married,2,49,0,Unsolicited,June,FALSE,,N,N,5,N,N,LEVEL 2,A,Supply Chain Administration,0,3,2,2,2
7022839739,68458,40,15771,WHITE,F,Single,2,52,1,Open House,April,FALSE,,N,Y,3,Y,Y,LEVEL 3,A,Production & Operations,3,3,3,3,3
5891506986,39499,24,14317,ASIAN,F,Divorced,5,39,3+,Agency,April,TRUE,2008,N,N,5,N,N,LEVEL 2,T,Production & Operations,0,0,0,0,0
8260151246,48178,29,40538,HISPA,F,Married,4,28,3,Job Boards/Online Advertising,October,FALSE,2007,N,N,2,Y,N,LEVEL 2,T,Production & Operations,0,0,0,0,0
4309800149,56193,32,84584,WHITE,M,Single,2,44,0,Staffing Agency,December,FALSE,,N,Y,3,N,N,LEVEL 3,A,Production & Operations,0,0,0,0,0
4570382823,53720,33,36545,WHITE,F,Single,1,57,0,E-Strat,April,TRUE,,N,N,5,N,N,LEVEL 3,A,Production & Operations,0,0,0,0,0
3833645860,44525,27,55457,WHITE,F,Divorced,5,29,2,Inroads,January,FALSE,,N,N,5,N,N,LEVEL 3,A,Production & Operations,0,0,0,0,0
5774846262,31392,21,68557,WHITE,M,Single,4,38,3+,Staffing Agency,December,FALSE,2008,N,N,1,N,Y,LEVEL 2,T,Production & Operations,0,0,0,0,0
4920737853,60456,37,44203,ASIAN,F,Married,2,55,0,Unsolicited,January,FALSE,,N,N,5,N,N,LEVEL 4,A,Production & Operations,2,0,0,0,0
2192954998,42836,26,19392,ASIAN,M,Single,4,30,2,Job Boards/Online Advertising,April,FALSE,2007,N,N,1,N,Y,LEVEL 3,T,Production & Operations,0,0,0,0,0
8822599354,182858,92,10691,WHITE,M,Divorced,4,26,3+,Corporate Career Site,December,FALSE,,N,N,1,N,Y,LEVEL 1,A,Tax,2,2,2,2,2
9074328166,165550,86,67466,WHITE,F,Single,3,38,2,Direct Sourcing,February,FALSE,,N,Y,2,N,N,LEVEL 3,A,Creative Service/Copy,2,2,2,2,0
2102991100,44353,30,44203,WHITE,F,Single,3,29,3,Agency,September,FALSE,,N,N,1,N,N,LEVEL 3,A,Production & Operations,0,0,0,0,0
7700722341,64681,36,57495,TWO,F,Married,2,58,1,Job Fair,November,FALSE,2005,N,N,2,N,N,LEVEL 1,T,Finance,0,0,0,0,0
2678719151,97771,53,23285,WHITE,F,Married,1,49,1,Staffing Agency,January,FALSE,,N,N,4,N,N,LEVEL 1,A,R&I Development/Pre-Develpmnt,2,2,2,3,2
4410500912,109978,60,38603,WHITE,M,Single,3,24,3+,Inroads,August,FALSE,,N,N,5,N,N,LEVEL 1,A,R&I Evaluation,3,3,2,2,2
2794104161,46281,25,55457,ASIAN,F,Single,2,49,0,Corporate Career Site,April,FALSE,,N,Y,5,N,N,LEVEL 1,A,Production & Operations,0,0,0,0,0
7524712821,46896,27,55457,BLACK,F,Married,2,45,1,Staffing Agency,December,FALSE,,N,Y,2,N,N,LEVEL 2,A,Production & Operations,0,0,0,0,0
2362169366,44596,27,91755,WHITE,F,Married,3,19,3,Agency,September,FALSE,,Y,N,2,N,Y,LEVEL 1,A,Production & Operations,0,0,0,0,0
8053981394,32448,19,68557,WHITE,F,Divorced,5,37,2,Direct Sourcing,August,FALSE,2009,N,N,3,N,N,LEVEL 2,T,Production & Operations,0,0,0,0,0
8957577086,43128,26,55457,HISPA,M,Single,4,35,3,,June,TRUE,,N,N,5,N,N,LEVEL 1,A,Production & Operations,0,0,0,0,0
8161107673,36393,28,86461,WHITE,F,Married,1,53,1,Job Boards/Online Advertising,September,FALSE,2008,N,Y,3,N,Y,LEVEL 1,T,Production & Operations,0,0,0,0,0
3557462600,41782,25,55457,BLACK,F,Married,4,22,3,College Recommendation,March,FALSE,,N,N,5,N,N,LEVEL 3,A,Production & Operations,0,0,0,0,0
6049408898,42663,28,31016,WHITE,M,Divorced,4,37,3,Job Posting,February,FALSE,2017,N,N,3,Y,N,LEVEL 3,T,Industrial Quality,0,0,0,3,0
5728533036,41572,27,44203,ASIAN,M,Single,3,28,3,Direct Sourcing,May,FALSE,,N,N,5,N,N,LEVEL 3,A,Production & Operations,0,0,0,0,0
7540962061,60871,37,41785,BLACK,F,Single,1,43,1,Other Source,March,FALSE,2007,N,Y,5,N,N,LEVEL 3,T,Logistics - Manufacturing,0,0,0,0,0
2141218002,53135,29,31016,BLACK,M,Married,4,18,2,Direct Sourcing,July,FALSE,,Y,N,4,N,N,LEVEL 1,A,Industrial Quality,0,0,0,2,0
8330310953,61251,39,44203,WHITE,F,Married,1,49,1,Corporate Career Site,October,FALSE,,N,N,3,N,N,LEVEL 4,A,Production & Operations,0,0,0,0,0
6766482619,36629,23,15110,HISPA,F,Married,2,60,1,Inroads,July,FALSE,2009,N,N,2,N,N,LEVEL 4,T,Customer Care,0,0,0,0,0
6174541887,36886,25,15110,WHITE,M,Single,1,48,1,Open House,June,FALSE,2009,N,N,1,N,N,LEVEL 3,T,Customer Care,0,0,0,0,0
2946175293,152295,78,79457,WHITE,M,Single,1,44,1,Inroads,November,FALSE,2010,N,N,5,N,N,LEVEL 4,T,Marketing - Direct,2,2,2,0,0
5719148246,62332,39,23413,WHITE,F,Married,4,35,3+,Job Boards/Online Advertising,June,FALSE,,N,N,2,N,N,LEVEL 3,A,General Administration,3,3,2,2,2
8495494697,44327,29,36405,WHITE,M,Single,2,61,0,Agency,April,FALSE,,N,Y,5,N,N,LEVEL 5,A,Production & Operations,0,0,0,0,0
2075366295,128560,70,83105,WHITE,F,Single,2,41,0,Job Fair,March,TRUE,2014,N,Y,4,N,N,LEVEL 2,T,Finance,0,3,3,2,2
7127651085,119092,65,85425,WHITE,M,Single,1,52,1,Executive Referral,November,FALSE,2006,N,N,2,N,N,LEVEL 5,T,R&I General Management,0,0,0,0,0
2527947908,179084,96,10006,TWO,F,Married,3,34,3+,E-Strat,March,FALSE,,N,N,2,N,Y,LEVEL 4,A,R&I General Management,3,3,3,3,2
3169768920,77199,44,68434,WHITE,M,Single,4,25,3+,E-Strat,May,FALSE,,N,N,1,Y,N,LEVEL 2,A,R&I Development/Pre-Develpmnt,2,2,2,3,3
3861626756,111605,61,83652,WHITE,M,Married,3,33,3+,Print Advertisement,July,FALSE,,N,N,5,N,N,LEVEL 2,A,R&I Development/Pre-Develpmnt,2,2,3,3,3
2920546791,87380,49,68434,WHITE,M,Single,2,40,0,Job Posting,January,FALSE,,N,N,1,N,N,LEVEL 1,A,R&I Development/Pre-Develpmnt,3,4,4,3,3
2873254336,138073,73,67412,HISPA,M,Married,4,19,2,Direct Sourcing,February,FALSE,,Y,Y,2,N,N,LEVEL 1,A,R&I Development/Pre-Develpmnt,3,3,2,2,2
5029698709,311968,158,50603,WHITE,M,Married,1,49,0,Direct Sourcing,November,FALSE,,N,N,2,N,N,LEVEL 4,A,General Management,0,2,0,0,0
8084299303,99590,57,36516,WHITE,F,Single,1,52,1,Job Fair,January,FALSE,,N,N,1,N,N,LEVEL 4,A,R&I Development/Pre-Develpmnt,3,4,4,2,2
9166402450,37117,26,15110,WHITE,M,Divorced,3,22,3+,Job Boards/Online Advertising,February,FALSE,2009,Y,N,5,N,N,LEVEL 1,T,Customer Care,0,0,0,0,0
4911765482,123821,69,77767,ASIAN,M,Single,3,21,2,Print Advertisement,December,FALSE,,N,N,4,N,N,LEVEL 1,A,IT Governance and Management,2,2,3,3,3
7558851001,38136,26,15110,BLACK,F,Single,1,48,1,Unknown,January,TRUE,2012,N,N,2,N,N,LEVEL 5,T,Customer Care,0,0,0,0,0
6335228460,38098,24,15110,WHITE,M,Single,4,20,3+,Client Referral,March,FALSE,2009,N,N,2,N,N,LEVEL 1,T,Customer Care,0,0,0,0,0
6427599498,102686,54,74839,ASIAN,F,Divorced,4,36,2,,April,FALSE,,N,N,2,N,N,LEVEL 3,A,Physical Flows,3,3,2,0,2
5092647821,214206,111,37963,WHITE,F,Single,1,57,1,Open House,June,TRUE,,N,N,3,N,N,LEVEL 3,A,Customer Care,2,2,2,1,2
5188696064,37489,24,15110,ASIAN,F,Divorced,5,20,3+,Staffing Agency,February,FALSE,2009,N,N,2,N,N,LEVEL 1,T,Customer Care,0,0,0,0,0
7805059806,37452,23,15110,TWO,F,Divorced,3,35,3+,Job Boards/Online Advertising,January,FALSE,2009,N,N,1,N,N,LEVEL 2,T,Customer Care,0,0,0,0,0
8088762387,49314,32,50776,HISPA,F,Married,2,49,1,Former Employee/Intern,June,FALSE,,N,N,1,N,N,LEVEL 3,A,Physical Flows,0,0,0,2,2
6777322326,37629,24,15110,WHITE,F,Married,5,39,3+,Former Employee/Intern,September,FALSE,2009,N,N,4,N,N,LEVEL 1,T,Customer Care,0,0,0,0,0
2268036973,31793,25,15110,WHITE,F,Single,2,42,0,Job Posting,September,TRUE,2007,N,N,5,N,N,LEVEL 5,T,Distribution/Administration,0,0,0,0,0
1250956284,45333,29,25089,HISPA,F,Divorced,4,25,3+,Client Referral,November,FALSE,2009,N,N,3,N,N,LEVEL 3,T,Customer Care,1,2,0,0,0
9191025851,37673,25,15110,WHITE,M,Married,1,57,1,Corporate Career Site,May,FALSE,2009,N,N,5,N,N,LEVEL 5,T,Customer Care,0,0,0,0,0
4924675619,27857,20,15110,WHITE,F,Single,2,43,0,Print Advertisement,March,FALSE,2005,N,N,2,N,N,LEVEL 1,T,Distribution/Administration,0,0,0,0,0
5470365083,37634,28,15110,ASIAN,F,Single,2,54,1,Unknown,July,FALSE,2009,N,N,2,Y,N,LEVEL 3,T,Customer Care,0,0,0,0,0
6035723028,37573,24,15110,WHITE,M,Single,3,31,2,,September,FALSE,2009,N,N,1,N,N,LEVEL 3,T,Customer Care,0,0,0,0,0
1745953387,43878,28,58258,WHITE,M,Married,2,58,1,College Recommendation,November,FALSE,,N,N,3,N,N,LEVEL 1,A,Physical Flows,0,0,0,0,0
8868847595,43614,27,50776,WHITE,F,Married,2,59,1,Client Referral,August,FALSE,,N,N,4,N,N,LEVEL 1,A,Physical Flows,0,0,0,0,0
9638787343,37143,28,15110,ASIAN,F,Married,1,47,0,Open House,March,FALSE,2009,N,N,3,N,N,LEVEL 3,T,Customer Care,0,0,0,0,0
1350322564,42461,26,50776,WHITE,F,Divorced,3,37,3,Inroads,October,FALSE,,N,N,2,N,N,LEVEL 1,A,Physical Flows,0,0,0,0,0
